carrera,materia,comision_nombre,espacio,dia_semana,hora_inicio,hora_fin,activo,plan_estudio
Ingeniería en Sistemas de Información,Desarrollo de Software,Curso 1,Aula 2.1,Jueves,16:35,22:45,TRUE,2023
Ingeniería en Sistemas de Información,Probabilidad y Estadística,Curso 1,Aula 2.1,Viernes,15:50,18:05,TRUE,2023
Ingeniería en Sistemas de Información,Probabilidad y Estadística,Curso 2,Aula 2.1,Viernes,18:10,20:25,TRUE,2023
Ingeniería en Sistemas de Información,Aspectos Avanzados de Calidad de Software,Curso 1,Aula 1.1,Lunes,15:50,18:05,TRUE,2023
Ingeniería en Sistemas de Información,Tecnologías para la Automatización,Curso 1,Aula 1.1,Lunes,18:10,22:45,TRUE,2023
Ingeniería en Sistemas de Información,Redes de Datos,Curso 1,Aula 1.1,Martes,16:35,20:25,TRUE,2023
Ingeniería en Sistemas de Información,Sistemas de Información Geográficos,Curso 1,Aula 1.1,Martes,20:30,22:45,TRUE,2023
Ingeniería en Sistemas de Información,Administración de Sistemas de Información,Curso 1,Aula 1.1,Miércoles,18:10,22:45,TRUE,2023
Ingeniería en Sistemas de Información,Aspectos Avanzados de Calidad de Software,Curso 1,Aula 1.1,Jueves,18:10,20:25,TRUE,2023
Ingeniería en Sistemas de Información,Sistemas de Información Geográficos,Curso 1,Aula 1.1,Jueves,18:10,20:25,TRUE,2023
Ingeniería en Sistemas de Información,Redes de Datos,Curso 1,Aula 1.1,Jueves,20:30,22:45,TRUE,2023
Ingeniería en Sistemas de Información,Agilidad Avanzada,Curso 1,Aula 1.1,Viernes,18:10,22:45,TRUE,2023
Ingeniería en Sistemas de Información,Práctica Supervisada,Curso 1,Aula 1.1,Lunes,15:50,18:05,TRUE,2023
Ingeniería en Sistemas de Información,Proyecto,Curso 1,Aula 1.1,Martes,15:50,18:05,TRUE,2023
Ingeniería en Sistemas de Información,Ciencia de Datos,Curso 1,Aula 1.1,Martes,18:10,22:45,TRUE,2023
Ingeniería en Sistemas de Información,Auditoría,Curso 1,Aula 1.1,Miércoles,16:35,18:05,TRUE,2023
Ingeniería en Sistemas de Información,Inteligencia Artificial,Curso 1,Aula 1.1,Miércoles,18:10,22:45,TRUE,2023
Ingeniería en Sistemas de Información,Proyecto,Curso 1,Aula 1.1,Jueves,16:35,18:55,TRUE,2023
Ingeniería en Sistemas de Información,Fundamentos de Ciberseguridad,Curso 1,Aula 1.1,Jueves,16:35,18:55,TRUE,2023
Ingeniería en Sistemas de Información,Aspectos Avanzados de Redes de Información,Curso 1,Aula 1.1,Jueves,16:35,18:55,TRUE,2023
Ingeniería en Sistemas de Información,DevOps,Curso 1,Aula 1.1,Viernes,17:20,18:55,TRUE,2023
Ingeniería en Sistemas de Información,Fundamentos de Ciberseguridad,Curso 1,Aula 1.1,Viernes,18:55,21:15,TRUE,2023
